source,name,type,network,compatible,reason
automatic,AKUN-001-CY-ANNETEN-19971112-VLESS-WS-105MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-002-NET-147-90-26-0-24-VLESS-WS-110MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-003-CLOUDFLARE-VLESS-WS-121MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-004-CY-ANNETEN-19971112-VLESS-WS-122MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-005-CLOUDFLARE-VLESS-WS-118MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-006-PMBET-NET-VLESS-WS-111MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-007-OLOIN-1-VLESS-WS-115MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-008-DIGITALOCEAN-VLESS-WS-122MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-009-CLOUDFLARE-VLESS-WS-118MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-010-CLOUDFLARE-VLESS-WS-131MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-011-CLOUDFLARE-VLESS-WS-123MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-012-SDCL-TW-NET-VLESS-WS-123MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-013-CLOUDFLARE-VLESS-WS-119MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-014-TYCHRON-02-VLESS-WS-134MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-015-NASEEJ-VLESS-WS-135MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-016-CLOUDFLARE-VLESS-WS-128MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-017-ALIBABA-VLESS-WS-118MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-018-ACE-SG-VLESS-WS-126MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-019-CLOUDFLARE-VLESS-WS-123MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-020-TYCHRON-02-VLESS-WS-134MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-021-CLOUDFLARE-VLESS-WS-148MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-022-CLOUDFLARE-VLESS-WS-122MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-023-CLOUDFLARE-VLESS-WS-130MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-024-CLOUDFLARE-VLESS-WS-128MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-025-CLOUDFLARE-VLESS-WS-175MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-026-UNKNOWN-VLESS-WS-119MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-027-LUCIDACLOUD-VLESS-WS-138MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-028-TYCHRON-02-VLESS-WS-136MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-029-UNKNOWN-VLESS-WS-302MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-030-UNKNOWN-VLESS-WS-235MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-031-VMISS-VLESS-WS-389MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-032-CLOUDFLARE-VLESS-WS-714MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-033-SEPPORATED-VLESS-WS-663MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-034-SPECIAL-IPV4-BENCHMARK-T-VLESS-WS-827MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-035-KTUDASKP-VLESS-WS-831MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-036-DOSTSELF-VLESS-WS-835MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-037-ZIOIO-VLESS-WS-845MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-038-CLOUDFLARE-VLESS-WS-863MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-039-UNKNOWN-VLESS-WS-884MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-040-OBSCHSELF-VLESS-WS-841MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-041-CLOUDFLARE-VLESS-WS-887MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-042-TIME-VLESS-WS-203MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-043-FREIFUNKFRANKEN-VLESS-WS-745MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-044-SPEEDORAA-VLESS-WS-887MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-045-NEMOSHRKP-VLESS-WS-927MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-046-CLEANFOODSHOP-VLESS-WS-926MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-047-DOSTSELF-VLESS-WS-920MS,vless,ws,yes,mihomo batch config test ok
automatic,AKUN-048-DOSTSELF-VLESS-WS-980MS,vless,ws,yes,mihomo batch config test ok
