name,type,network,original_server,bug_sni,handshake_ms,ws_upgrade_ms,url_test_ms,url_test_status,url_test_success
AKUN-001-CY-ANNETEN-19971112-VLESS-WS-105MS,vless,ws,195.26.229.222,xi.tbv.ccwu.cc,105,105,385,HTTP 204,yes
AKUN-002-NET-147-90-26-0-24-VLESS-WS-110MS,vless,ws,147.90.26.37,cdn8848.776676.xyz,110,110,384,HTTP 204,yes
AKUN-003-CLOUDFLARE-VLESS-WS-121MS,vless,ws,104.18.42.163,fx3h2kf8xn.fx6hsv0.ccwu.cc,121,121,405,HTTP 204,yes
AKUN-004-CY-ANNETEN-19971112-VLESS-WS-122MS,vless,ws,195.26.229.32,xi.tbv.ccwu.cc,122,122,395,HTTP 204,yes
AKUN-005-CLOUDFLARE-VLESS-WS-118MS,vless,ws,172.64.53.215,faxf32gkfzoxqv.fx6hsv0.ccwu.cc,118,118,1376,HTTP 204,yes
AKUN-006-PMBET-NET-VLESS-WS-111MS,vless,ws,31.43.179.200,xi.tbv.ccwu.cc,111,111,381,HTTP 204,yes
AKUN-007-OLOIN-1-VLESS-WS-115MS,vless,ws,216.205.52.11,xi.tbv.ccwu.cc,115,115,377,HTTP 204,yes
AKUN-008-DIGITALOCEAN-VLESS-WS-122MS,vless,ws,46.101.230.110,cdn8848.776676.xyz,122,122,369,HTTP 204,yes
AKUN-009-CLOUDFLARE-VLESS-WS-118MS,vless,ws,104.18.26.90,vip.868068.xyz,118,118,413,HTTP 204,yes
AKUN-010-CLOUDFLARE-VLESS-WS-131MS,vless,ws,104.17.20.23,cdn8848.776676.xyz,131,131,350,HTTP 204,yes
AKUN-011-CLOUDFLARE-VLESS-WS-123MS,vless,ws,104.21.236.63,cfvvv-ev1.pages.dev,123,123,377,HTTP 204,yes
AKUN-012-SDCL-TW-NET-VLESS-WS-123MS,vless,ws,103.137.22.71,cdn8848.776676.xyz,123,123,403,HTTP 204,yes
AKUN-013-CLOUDFLARE-VLESS-WS-119MS,vless,ws,188.114.97.6,cfvvv-ev1.pages.dev,119,119,439,HTTP 204,yes
AKUN-014-TYCHRON-02-VLESS-WS-134MS,vless,ws,139.64.235.1,nb.lovecf.ggff.net,134,134,386,HTTP 204,yes
AKUN-015-NASEEJ-VLESS-WS-135MS,vless,ws,91.209.253.109,nb.lovecf.ggff.net,135,135,419,HTTP 204,yes
AKUN-016-CLOUDFLARE-VLESS-WS-128MS,vless,ws,104.24.0.184,cfvvv-ev1.pages.dev,128,128,379,HTTP 204,yes
AKUN-017-ALIBABA-VLESS-WS-118MS,vless,ws,8.222.84.103,cdn8848.776676.xyz,118,118,392,HTTP 204,yes
AKUN-018-ACE-SG-VLESS-WS-126MS,vless,ws,43.175.131.30,cdn8848.776676.xyz,126,126,340,HTTP 204,yes
AKUN-019-CLOUDFLARE-VLESS-WS-123MS,vless,ws,188.114.97.6,cfvvv-ev1.pages.dev,123,123,1410,HTTP 204,yes
AKUN-020-TYCHRON-02-VLESS-WS-134MS,vless,ws,us10.zuoai.cf,nb.lovecf.ggff.net,134,134,400,HTTP 204,yes
AKUN-021-CLOUDFLARE-VLESS-WS-148MS,vless,ws,172.64.229.58,cdn8848.776676.xyz,148,148,357,HTTP 204,yes
AKUN-022-CLOUDFLARE-VLESS-WS-122MS,vless,ws,172.64.145.166,cdn8848.776676.xyz,122,122,350,HTTP 204,yes
AKUN-023-CLOUDFLARE-VLESS-WS-130MS,vless,ws,188.114.96.37,TeLegrAm.FREEPErSiANland1.woRKERS.DEv,130,130,276,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-024-CLOUDFLARE-VLESS-WS-128MS,vless,ws,104.24.0.184,cfvvv-ev1.pages.dev,128,128,394,HTTP 204,yes
AKUN-025-CLOUDFLARE-VLESS-WS-175MS,vless,ws,104.16.10.235,u.srilankangrill.online,175,175,417,HTTP 204,yes
AKUN-026-UNKNOWN-VLESS-WS-119MS,vless,ws,207.148.99.230,cdn8848.776676.xyz,119,119,1371,HTTP 204,yes
AKUN-027-LUCIDACLOUD-VLESS-WS-138MS,vless,ws,68.64.179.129,cdn8848.776676.xyz,138,138,418,HTTP 204,yes
AKUN-028-TYCHRON-02-VLESS-WS-136MS,vless,ws,139.64.235.117,nb.lovecf.ggff.net,136,136,371,HTTP 204,yes
AKUN-029-UNKNOWN-VLESS-WS-302MS,vless,ws,104.16.60.10,hk1.69lover.my,302,302,3620,HTTP 204,yes
AKUN-030-UNKNOWN-VLESS-WS-235MS,vless,ws,172.67.156.147,jp3.yohototo.top,235,235,778,HTTP 204,yes
AKUN-031-VMISS-VLESS-WS-389MS,vless,ws,216.40.86.199,thus-k.netnode.cc.cd,389,389,4647,"ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=4.5)",no
AKUN-032-CLOUDFLARE-VLESS-WS-714MS,vless,ws,ct.877774.xyz,us-lax.xhs152.shop,714,714,820,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-033-SEPPORATED-VLESS-WS-663MS,vless,ws,ams.sepporated.com,ams.sepporated.com,663,663,2098,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-034-SPECIAL-IPV4-BENCHMARK-T-VLESS-WS-827MS,vless,ws,originamber.dost-self.co.uk,originamber.dost-self.co.uk,827,827,1190,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-035-KTUDASKP-VLESS-WS-831MS,vless,ws,checkoutevent.ktuda-skp.net,checkoutevent.ktuda-skp.net,831,831,1308,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-036-DOSTSELF-VLESS-WS-835MS,vless,ws,pathviolet.dost-self.co.uk,pathviolet.dost-self.co.uk,835,835,2159,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-037-ZIOIO-VLESS-WS-845MS,vless,ws,cedarsection.zioio.net,cedarsection.zioio.net,845,845,1220,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-038-CLOUDFLARE-VLESS-WS-863MS,vless,ws,172.67.179.82,1-m20.be434a1f-0c04-40c9-a43a-87cc7d7da502.kdns.fr,863,863,1260,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-039-UNKNOWN-VLESS-WS-884MS,vless,ws,172.67.140.160,5-stAtic-ImG-m13.xDC.ccWu.cC,884,884,1300,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-040-OBSCHSELF-VLESS-WS-841MS,vless,ws,tierrollup.obsch-self.co.uk,tierrollup.obsch-self.co.uk,841,841,1179,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-041-CLOUDFLARE-VLESS-WS-887MS,vless,ws,172.67.176.60,3-M19.SoUtH-afRIcA.CCwu.Cc,887,887,1364,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-042-TIME-VLESS-WS-203MS,vless,ws,time.is,a.v2boxerfree3.workers.dev,203,203,4646,"ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=4.5)",no
AKUN-043-FREIFUNKFRANKEN-VLESS-WS-745MS,vless,ws,81.95.4.189,bab-6.site,745,745,4649,"ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=4.5)",no
AKUN-044-SPEEDORAA-VLESS-WS-887MS,vless,ws,pass.speedoraa.ir,pas.speedoraa.ir,887,887,2226,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-045-NEMOSHRKP-VLESS-WS-927MS,vless,ws,ficdn2.nem-osh-rkp.net,ficdn2.nem-osh-rkp.net,927,927,1329,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-046-CLEANFOODSHOP-VLESS-WS-926MS,vless,ws,cardpayment.cleanfoodshop.org,cardpayment.cleanfoodshop.org,926,926,2292,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-047-DOSTSELF-VLESS-WS-920MS,vless,ws,harriersample.dost-self.co.uk,harriersample.dost-self.co.uk,920,920,1249,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-048-DOSTSELF-VLESS-WS-980MS,vless,ws,membercypress.dost-self.co.uk,membercypress.dost-self.co.uk,980,980,2342,"SSLError: HTTPSConnectionPool(host='www.gstatic.com', port=443): Max retries exceeded with url: /generate_204 (Caused by SSLError(",no
AKUN-049-NET-147-90-26-0-24-VLESS-WS-125MS,vless,ws,147.90.26.37,cdn8848.776676.xyz,125,125,378,HTTP 204,yes
MANUAL-VMess-WS-TLS-443-ikada543,vmess,ws,104.17.3.81,fbcdn.sbs,183,183,466,HTTP 204,yes
MANUAL-VMess-WS-TLS-443-singa08,vmess,ws,104.17.3.81,midtrans.cyou,219,219,520,HTTP 204,yes
MANUAL-VMess-WS-TLS-443-akuku8,vmess,ws,104.17.3.81,fbcdn.sbs,182,182,478,HTTP 204,yes
